iter	Passed	Remaining
0	0	69
1	1	75
2	2	82
3	3	75
4	3	75
5	4	72
6	5	71
7	6	70
8	6	68
9	7	67
10	8	65
11	8	64
12	9	62
13	9	61
14	10	59
15	11	58
16	11	57
17	12	56
18	12	54
19	13	53
20	14	52
21	14	51
22	14	50
23	15	49
24	16	48
25	16	47
26	17	46
27	17	45
28	18	45
29	18	44
30	19	43
31	20	42
32	20	41
33	21	41
34	21	40
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	29	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	41	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	13
76	44	13
77	45	12
78	46	12
79	46	11
80	47	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	4
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	57	0
